ITEMNAME,DEPNAME,MAINUPC,SIZENAME,PACKNAME,CURRENTCOST,PRICEPERUNIT,TOTALQTY
JOHNNIE WALKER BLUE,Whisky,88076161597,200 ML,,34.32,44.99,3
JOHNNIE WALKER GREEN,Whisky,88076162624,750 ML,,52,62.99,4
JOHNNIE WALKER RED,Whisky,88076163164,1.75 LT,,32.09,39.99,4
JOHNNIE WALKER BLACK,Whisky,8807616317,1.75 LT,,59.09,64.99,1
WHITE HORSE 750 ML,Whisky,88076171220,750 ML,,19.09,25.99,0
OLD PARR,Whisky,88076174641,750 ML,,27.99,34.99,2
JOHNNIE WALKER DOUBLE BLACK,Whisky,88076177703,750 ML,,35.09,44.99,2
BUCHANAN MASTER,Whisky,88076177789,750 ML,,39.99,49.99,2
JOHNNIE WALKER GOLD LABEL,Whisky,88076178243,750 ML,,56,69.99,2
BUCHANANS,Whisky,88076181175,200 ML,Single,9.09,11.99,0
JOHNNIE WALKER 18 YEARS,Whisky,88076181366,750 ML,,64.09,79.99,2
BUCHANAN PINEAPPLE,Whisky,88076188365,750 ML,,28.49,34.99,0
BUCHANAN PINEAPPLE,Whisky,88076189348,375 ML,,15.99,20.99,2
JOHNNIE WALKER BLUE,Whisky,88076189911,750 ML,,189.09,199.99,6
MACNAUGHTON  375 ML,Whisky,88100460573,375 ML,,4.09,4.99,-1
DIMPLE PINCH  1.75LITER,Whisky,88110000080,1.75 LT,,57,63.99,0
JOHNNIE WALKER BLACK,Whisky,88110011130,200 ML,,8.09,11.99,14
JOHNNIE WALKER BLACK,Whisky,88110011192,375 ML,,13.09,18.99,1
JOHNNIE WALKER BLACK,Whisky,88110011307,750 ML,,29.09,35.99,10
JOHNNIE WALKER RED,Whisky,88110021191,375 ML,,6.99,9.99,27
BUCHANANAS,Whisky,88110955304,1 LT,Single,39.09,45.99,0
BUCHANAN DELUXE,Whisky,88110955328,750 ML,,28.49,34.99,12
BUCHANAN DELUXE,Whisky,88110955335,375 ML,,15.99,19.99,23
J&B RARE SCOTCH WHISKY 750 ML,Whisky,88110985042,750 ML,,19,22.99,0
J&B BLENDED SCOTCH WHISKY 375M,Whisky,88110985080,375 ML,,11.49,12.99,0
J&B  200ML,Whisky,88110985097,200 ML,,6.99,8.99,0
WHITE HORSE 1.75 LTR,Whisky,88320290011,1.75 LT,,22.42,27.5,0
WHITE HORSE 750ML,Whisky,88320290035,750 ML,,12.04,16.99,0
WHITE HORSE 375ML,Whisky,88320290042,375 ML,,6.34,9.99,0
WHITE HORSE 200ML,Whisky,88320290059,200 ML,,3.6,4.5,0
COMFORT CARAMEL,Whisky,88544000809,750 ML,Single,5.09,9.99,0
BALLANTINES WHISKY  375ML,Whisky,89120003443,375 ML,,6.09,7,0
CANADIAN CLUB WHISKY 200ML,Whisky,89540168456,200 ML,,4.99,6.99,0
Cutty Sark Scots Whisky,Whisky,89756420027,1.75 LT,,28.09,28.99,0
CUTTY SARK  200ML,Whisky,89756420072,200 ML,,4.89,6.99,0
ELIJAH CRAIG 1789 BOURBON,Whisky,96749000067,750 ML,,31.99,38.99,3
WILSON 750ML,Whisky,96749008575,750 ML,,5.79,8.99,0
WILSON 750ML,Whisky,96749008582,750 ML,,5.79,8.99,0
WILSON 200ML,Whisky,96749008605,200 ML,,1.82,3,0
WILSON 375ML,Whisky,96749008803,375 ML,,4.13,4.99,0
MACALLAN 12 YEARS,Whisky,1206602159,750 ML,,69.08,79.99,2
WILLIAM WOLF,Whisky,5012000237,750 ML,Single,10.99,11.99,0
GLENDOWER SINGLE MALT SCOTCH W,Whisky,5098300000,750 ML,,33.95,34.95,0
DAILMORE 15YR-VIK,Whisky,5299500000,750 ML,,114.01,149.99,0
DAILMORE 12YR-VIK,Whisky,5299600000,750 ML,,82.09,99.99,1
GLENLIVET 18YR-VIK,Whisky,5299800000,750 ML,,113.09,149.99,0
DELAMIN XO-VIK,Whisky,5299900000,750 ML,,85,99.99,0
CUTTY SARK 200 ML,Whisky,721059052009,200 ML,,4.32,4.35,0
CUTTY SARK 750 ML,Whisky,721059057509,750 ML,,17.09,21.99,0
IRISH MIST HONEY,Whisky,721059507509,750 ML,Single,6.09,19.99,0
AMERICAN HONEY,Whisky,721059815000,50 ML,,0.89,1.17,19
WILD TURKEY BOURBON,Whisky,721059847506,750 ML,,23.08,28.99,3
LION HEAD SCOTCH,Whisky,729440880934,750 ML,,22,31.99,0
DEUTZ BRUT CLASSIC   750 ML,Whisky,753625901008,750 ML,,32.09,34.99,0
FIREBALL CINNAMON WHISKY,Whisky,8004144708,50 ML,,0.7,1.17,32
JAMESON ORANGE,Whisky,80432117330,750 ML,,32.08,38.99,2
8 PM WHISKY,Whisky,811272021477,50 ML,,0.59,0.94,371
RAMPUR DOUBLE CASK,Whisky,811272022047,750 ML,,70.09,79.99,1
RAMPUR ASAVA,Whisky,811272022054,750 ML,,70.09,79.99,1
RAMPUR ASAVA,Whisky,811272022276,50 ML,,0.98,1.64,157
TINCUP 10 YEARS,Whisky,811538014854,750 ML,,35.01,39.99,0
MACALLAN  12 YEARS,Whisky,812066021840,375 ML,,36.09,44.99,0
BIRD DOG WHISKY,Whisky,812459012875,750 ML,Single,6.99,7.99,0
BIRD DOG PEANUT BUTTER,Whisky,812459014626,50 ML,,0.67,0.94,2
GLEN SILVER,Whisky,814261010070,750 ML,Single,9.16,11.99,0
THE GLEN SILVER,Whisky,814261010179,1 LT,,12.58,16.99,2
CROWN ROYAL VANILLA,Whisky,820077480,750 ML,,31.08,34.99,1
CROWN ROYAL VANILLA,Whisky,825230,50 ML,,1.49,1.97,0
KINKY CINNAMON,Whisky,8427999588,750 ML,Single,18,18.99,0
ANGELS ENVY BOURBON,Whisky,850047003003,750 ML,,42.09,49.99,1
CHIVAS REGAL 12 YEAR 375ML,Whisky,876810,375 ML,,16.79,19.99,0
SEAGRAM 7 CROWN 200 ML,Whisky,877350,200 ML,,4.29,7,0
SEAGRAMS VO 750 ML,Whisky,877370,750 ML,,7.99,14.99,0
SEAGRAMS VO 200 ML,Whisky,877390,200 ML,,4.72,6.75,0
SEAGRAMS VO WHISKY,Whisky,877610,375 ML,,8.19,8.99,0
SEAGRAM 7 CROWN 375 ML,Whisky,877650,375 ML,,7.29,9.99,0
DIMPLE PINCH  750ML,Whisky,881154,750 ML,,32.09,39.99,0
JOHNNIE WALKER BLACK,Whisky,891110,50 ML,,1.29,2.11,368
JOHNNIE WALKER RED,Whisky,891130,50 ML,,0.89,1.88,502
100 PIPERS,Whisky,9674980085,1.75 LT,Single,18.09,23.99,0
SAN NICOLA PINOT GRIGIO,Wine,10086101393,1.5 LT,,6,8.99,0
BLU PROSECCO,Wine,10086103403,750 ML,,9,12.99,24
MARTINI & ROSSI ASTI,Wine,11034500053,750 ML,,11.09,14.99,2
19 CRIMES RED WINE,Wine,1235400099,750 ML,,9.09,12.99,12
19 CRIMES CABERNET,Wine,12354001350,750 ML,,8.79,12.99,9
19 CRIMES CALI RED,Wine,12354004290,750 ML,,12.09,14.99,0
19 CRIMES CALI ROSE,Wine,12354005006,750 ML,,12.09,15.99,12
19 CRIMES GIFT PACK,Wine,12354008090,750 ML,,17,23.99,0
THE LITTLE PENGUIN CABERNET,Wine,12354010352,1.5 LT,,11.67,12.99,0
KOONUNGA HILL CHARDONNAY  750,Wine,12354071339,750 ML,,10.09,13.99,0
KOONUNGA HILL SHIRAZ CAB  750,Wine,12354071445,750 ML,,10.09,13.99,0
KOONUNGA HILL CABERNET  750 ML,Wine,12354072374,750 ML,,10.09,13.99,0
KOONUNGA HILL MERLOT  750 ML,Wine,12354072435,750 ML,,10.09,13.99,0
OPERA PRIMA BRUT,Wine,17619025010,750 ML,,4.67,7.99,12
OPERA PRIMA ROSE PINK,Wine,17619025058,750 ML,,4.67,7.99,11
OPERA PRIMA MIMOSA,Wine,17619025065,750 ML,,4.67,7.99,12
OPERA PRIMA BLUE MOSCATO,Wine,17619025119,750 ML,,4.67,7.99,9
OPERA PRIMA BLACKBERRY,Wine,17619025188,750 ML,,4.67,7.99,12
OPERA PRIMA SPARKLING ROSSO,Wine,17619025218,750 ML,,4.67,7.99,12
OP PRIMA MERLOT,Wine,17619033039,750 ML,,3.67,5.99,12
BAREFOOT CABERNET SAUV .,Wine,18341151015,1.5 LT,,10.09,14.99,0
BAREFOOT CHARDONNAY,Wine,18341151053,1.5 LT,,11.99,14.99,0
BAREFOOT MERLOT,Wine,18341151107,1.5 LT,,12.09,14.99,1
BAREFOOT CABERNET SAUVIGNON,Wine,18341751017,750 ML,,6.01,7.99,9
BAREFOOT SAUVIGNON BLANC,Wine,18341751024,750 ML,,6.01,7.99,8
BAREFOOT CHARDONNY,Wine,18341751055,750 ML,,6.01,7.99,2
BAREFOOT WHITE ZINFANDEL,Wine,18341751062,750 ML,,5.39,7.99,0
BAREFOOT MERLOT,Wine,18341751109,750 ML,,6,7.99,11
LUNA DI LUNA MERLOT CABERNET 7,Wine,21893789087,750 ML,,7.09,7.99,0
LUNA DI LUNA MOSCATO 750ML,Wine,21893805671,750 ML,,7.09,8.99,0
JOSH PINOT GRIGIO,Wine,31259001456,750 ML,,13.09,17.99,8
YELLOW TAIL CHARDONNAY,Wine,31259008929,750 ML,,6.99,9.38,3
YELLOW TAIL MERLOT,Wine,31259009223,750 ML,,5.99,9.38,9
YELLOW TAIL MERLOT,Wine,31259009230,1.5 LT,,12.49,15.99,1
YELLOW TAIL PINOT GRIGIO,Wine,31259009711,750 ML,,6.99,9.38,7
YELLOW TAIL PINOT GRIGIO,Wine,31259009728,1.5 LT,,11.99,15.99,2
YELLOW TAIL MOSCATO,Wine,31259032863,1.5 LT,,11.99,15.99,3
YELLOW TAIL JAMMY RED ROO,Wine,31259044095,750 ML,,6.99,9.38,0
YELLOW TAIL JAMMY RED ROO,Wine,31259044101,1.5 LT,,11.99,15.99,0
JOSH RED BLEND,Wine,31259048024,750 ML,,13.09,17.99,0
RENEBARBIER CATALUNYA 750 ML,Wine,33293870005,750 ML,,5.5,8,0
KRISTIAN REGALE 750 ML,Wine,36803001081,750 ML,,3.5,5,0
VERDI SPUMANTE,Wine,38075202302,750 ML,,5.09,8.45,0
VERDI RASPBERRY,Wine,38075205303,750 ML,,5.09,8.45,0
VERDI RASPBERRY,Wine,38075205501,1.5 LT,,7.59,12.99,0
VERDI PEACH,Wine,38075206300,750 ML,,6.09,8.45,6
VERDI PEACH,Wine,38075206508,1.5 LT,,7.59,12.99,0
VERDI GREEN APPLE,Wine,38075207307,750 ML,,6.09,8.45,4
VERDI GREEN APPLE,Wine,38075207505,1.5 LT,,7.59,12.99,0
VERDI STRAWBERRY,Wine,38075210307,750 ML,,5.09,8.45,4
VERDI WATERMELON,Wine,38075250303,750 ML,,5.09,8.45,1
VALLEY OF THE MOON  CAB-SAU 75,Wine,40267101300,750 ML,,14.3,18.99,0
MARTINELLIS  187 ML,Wine,41244002566,187 ML,,0,2,0
COCOA DI VINE CHOCOLATE,Wine,80175227945,750 ML,,2,4.99,0
ABSOLUT VERIETY PACK CAN,Wine,80432001257,355ml,8 PACK,15.83,19.99,0
CANEI 187ML,Wine,80432200018,187 ML,,1.33,1.88,0
CANEI  BIANCO 1.5  LITER,Wine,80432200025,1.5 LT,,7.33,10,0
CANEI BIANCO 750 ML,Wine,80432200070,750 ML,,5.33,7.5,0
CANEI  187 ML,Wine,80432202012,187 ML,,1.5,1.88,0
CANEI ROSE 1.5 LITER,Wine,80432202029,1.5 LT,,7.33,10,0
CANEI ROSE  750 ML,Wine,80432202074,750 ML,,5.33,7.5,0
CANEI  PEACH  750 ML,Wine,80432203071,750 ML,,5.33,7.5,0
JACOBS CREEK MERLOT,Wine,80432343074,750 ML,Single,6.33,7.99,0
RIUNITE SWEET RED,Wine,80516113548,750 ML,,5.98,7.49,0
RIUNITE MOSCATO,Wine,80516135441,750 ML,,4.5,4.68,0
COASTAL ESTATES MERLOT 750ML,Wine,80696092671,750 ML,,7.09,10.99,0
FOREST GLEN MERLOT 750 ML,Wine,81054084475,750 ML,,6.1,8.99,0
SEARIDGE CAB-SAU 750 ML,Wine,81054354356,750 ML,,4.75,6.99,0
ALLURE PINK MOSCATO 750 ML,Wine,81054954082,750 ML,,8.69,9.99,0
THE GREAT CHARDONNAY,Wine,81054996655,750 ML,,2,3.99,0
VEUVE CLICQUOT YELLOW BRUT,Wine,81753050221,375 ML,,30.99,37.99,1
VEUVE CLICQUOT YELLOW BRUT,Wine,81753814755,750 ML,,59.28,64.99,0
AR/MIST WHITE ZIN.MELON,Wine,82100109418,750 ML,,4.09,5.99,0
AR/MIST WHITE ZIN.EXOTIC FRUIT,Wine,82100179022,750 ML,,4.09,5.99,0
AR/MIST WHITE ZIN.STRAWBERRY,Wine,82100179039,750 ML,,4.09,5.99,0
ARBOR MIST CHARDONNAY PEACH,Wine,82100179053,1.5 LT,,7.19,10.32,0
AR/MIST WHITE ZIN.EXOTIC FRUIT,Wine,82100179060,1.5 LT,,7.19,10.32,0
AR/MIST WHITE ZIN.STRAWBERRY,Wine,82100179077,1.5 LT,,7.19,10.32,0
AR/MIST ZINFANDELSANGRIA,Wine,82100179084,750 ML,,4.09,5.99,0
AR/MIST CHARDONNAY TROPICAL FR,Wine,82100179091,750 ML,,4.09,6.1,0
ARBOR ZINFANDEL SANGRIA,Wine,82100179107,1.5 LT,,7.42,10.99,4
ARBOR MIST CHARDONNAY TROP. FR,Wine,82100179114,1.5 LT,,7.19,10.32,0
ARBOR MIST MERLOT BLACKBERRY,Wine,82100179237,750 ML,,4.09,6.1,8
ARBOR MIST MERLOT BLACKBERRY,Wine,82100179244,1.5 LT,,7.19,10.32,0
AR/MIST WHITE MERLOT CRANBERRY,Wine,82100179251,750 ML,,4.09,5.99,0
AR/MIST PINOT GRIGIO ISLAND FR,Wine,82100179329,750 ML,,4.09,4.99,0
ARBOR MIST PINOT GRIGIO ISLAND,Wine,82100179336,1.5 LT,,7.19,10.32,0
AR/MIST PINOT NOIR MIXED BERRY,Wine,82100737567,750 ML,,4.09,5.99,0
AR/MIST PINOT NOIR MIXED BERRY,Wine,82100737574,1.5 LT,,7.19,10.32,0
AR/MIST PINOT NOIR POMEGRANATE,Wine,82100738496,750 ML,,4.09,5.99,0
AR/MIST PINOT NOIR POMEGRANATE,Wine,82100738502,1.5 LT,,7.19,10.32,0
ARBOR MIST MANGO STRAWBERRY,Wine,82100738564,750 ML,,4.09,6.1,10
ARBOR MIST MANGO STRAWBARRY,Wine,82100738571,1.5 LT,,7.42,10.99,7
ARBOR MIST PINK MOSCATO RASPBERRY,Wine,82100738755,750 ML,,4.09,6.1,2
ARBOR MIST PINK MOSCATO RASPBERRY,Wine,82100738762,1.5 LT,,7.42,10.99,5
ARBOR MIST MOSCATO PEACH,Wine,82100739097,750 ML,,4.09,6.1,2
ARBOR MIST MOSCATO PEACH,Wine,82100739103,1.5 LT,,7.19,10.32,0
ARBOR MIST RED MOSCATO CHERRY,Wine,82100739110,750 ML,,4.09,6.1,3
AR/MIST RED MOSCATO CHERRY,Wine,82100739127,1.5 LT,,7.19,10.32,0
ARBOR MIST PINEAPPLE STRAWBARRY,Wine,82100739332,1.5 LT,,7.42,10.99,3
GALA 2000 750ML,Wine,82352603757,750 ML,,23.99,24.99,0
FRONTERA CAB MERLOT,Wine,82734001010,1.5 LT,,8.09,10.99,6
FRONTERA CABERNET MERLOT,Wine,82734001027,750 ML,,3.66,5.16,3
STONES GINGER WINE,Wine,82734001171,750 ML,,6.25,9.99,8
FRONTERA CABERNET SAUV,Wine,82734213529,750 ML,,3.66,5.16,10
FRONTERA MERLOT,Wine,82734313724,1.5 LT,,8.09,10.99,6
FRONTERA MERLOT,Wine,82734313748,750 ML,,3.66,5.16,10
FRONTERA BUTTERY CHARDONNAY,Wine,82734314141,750 ML,,3.66,5.16,7
FRONTERA PINOT GRIGIO,Wine,82734416685,750 ML,,3.66,5.16,11
FRONTERA PINOT GRIGIO,Wine,82734416692,1.5 LT,,8.09,10.99,6
FRONTERA MALBEC,Wine,82734467021,1.5 LT,,8.09,10.99,6
FRONTERA AFTER MIDNIGHT,Wine,82734627395,750 ML,,3.66,5.16,7
WILD IRISH RED,Wine,8285317,375 ML,,2,2.57,0
VIRGIN CHARDONNAY 750ML,Wine,82896047192,750 ML,,0,6.99,0
FETZER 750ML,Wine,82896700257,750 ML,,6.67,7.99,0
FRANZIA MOSCATO,Wine,83120003021,5L,,20.09,23.99,4
FRANZIA DARK RED BLEND,Wine,83120003359,5L,,20.09,23.99,2
FRANZIA PINK MOSCATO,Wine,83120003540,5L,,20.09,23.99,4
FRANZIA CABERNET SAUV,Wine,83120011255,5L,,20.09,23.99,5
FUEL MARGARITA RUSH,Wine,83120015628,500 ml,,2.5,3.52,10
FUEL HARD PUNCH,Wine,83120015635,500 ml,,2.5,3.52,8
FUEL TIGERS BLOOD,Wine,83120015659,500 ml,,2.5,3.52,11
FRANZIA MERLOT,Wine,83120100195,5L,,20.09,23.99,4
FRANZIA PINOT GRIGIO,Wine,83120100393,5L,,20.09,23.99,2
FRANZIA FRUITY RED SANGRIA,Wine,83120103295,5L,,18.09,23.99,3
BOLLA VALPOLICELLA 750 ML,Wine,83300094115,750 ML,,8.09,8.99,0
BOLLA MERLOT 1.5 LT,Wine,83300094207,1.5 LT,,8,8.49,0
SOAVE BOLLA WINE 750 ML,Wine,83300094535,750 ML,,3.5,3.74,0
MOUTON CADET BORDEAUX BLANC 75,Wine,83960144045,750 ML,,9.01,9.49,0
RISATA MOSCATO D ASTI,Wine,8427997763,750 ML,,10,12.99,0
RISATA PINK MOSCATO,Wine,84279988108,750 ML,,10,12.99,0
RISATA RED MOSCATO,Wine,84279999951,750 ML,,10,12.99,0
MEDOC 2005 750 ML,Wine,84692404148,750 ML,,9,12.99,0
CAPOSALDO PROSECCO ROSE,Wine,84692649600,750 ML,,12.99,15.99,0
TURNING LEAF CHARDONNAY 750 ML,Wine,85000002391,750 ML,,3,3.25,0
GALLO CABERNET SAU,Wine,85000005002,750 ML,,4.01,5.49,19
GALLO CABERNET SAU,Wine,85000005019,1.5 LT,,6.19,8.99,11
GALLO CHARDONNAY,Wine,85000005033,750 ML,,4.01,5.49,8
GALLO CHARDONNAY,Wine,85000005064,1.5 LT,,6.19,8.99,4
BAREFOOT PINOT GRIGIO,Wine,85000005286,187 ML,,1.33,1.88,0
CARLO SWEET RED,Wine,85000005729,4 LT,,16.01,19.99,6
GALLO SAUVIGNON BLANC,Wine,85000005866,750 ML,,4.01,5.49,7
GALLO SAUVGNON BLANC,Wine,85000005873,1.5 LT,,6.19,8.99,6
CARLO BURGUNDY,Wine,85000006986,1.5 LT,,8.01,10.32,5
CARLO BURGUNDY,Wine,85000006993,3 LT,,12.01,16.99,4
PETER VELLA DELICIOUS RED,Wine,85000007686,5L,,14.09,17.99,0
GALLO WHITE ZINFANDEL,Wine,85000007839,750 ML,,4.01,5.49,15
GALLO WHITE ZINFANDEL,Wine,85000007846,1.5 LT,,6.19,8.99,13
GALLO HEARTY BURGUNDY,Wine,85000007921,1.5 LT,,6.19,8.99,2
GALLO MERLOT,Wine,85000009857,1.5 LT,,6.19,8.99,13
REDWOOD CREEK PINOT GRIGIO 750,Wine,85000010006,750 ML,,4,6.49,0
REDWOOD CREEK CHARDONNAY 750ML,Wine,85000010457,750 ML,,3.5,5.99,0
REDWOOD CREEK MERLOT 750ML,Wine,85000010464,750 ML,,4,5.99,0
REDWOOD CREEK CABERNET SAUVIGN,Wine,85000010587,750 ML,,5.14,5.49,0
TISDALE MERLOT 750 ML,Wine,85000011416,750 ML,,3.01,4.99,0
TISDALE CABERNET SAUVIGNON 750,Wine,85000011423,750 ML,,3.01,4.99,0
TISDALE CHARDONNAY 750ML,Wine,85000011430,750 ML,,3.01,4.99,0
BOONES FARM MELON BALL 750 ML,Wine,85000011805,750 ML,,3.29,4.25,0
BOONES FARM BLUE HAWAIIAN 750,Wine,85000012161,750 ML,,3.29,4.25,0
REDWOOD CREEK PINOT NOIR 750 M,Wine,85000012239,750 ML,,5.14,5.49,0
MIRASSOU  MERLOT  750 ML,Wine,85000012253,750 ML,,7.29,10.99,0
BOONES FARM ORANGE HURRICANE 7,Wine,85000012895,750 ML,,3.29,4.25,0
TISDALE SHIRAZ 750 ML,Wine,85000013007,750 ML,,4.1,4.49,0
BOONES FARM APPLE BLOSSOM 750,Wine,85000013236,750 ML,,3.29,4.25,0
BOONES FARM MANGO GROVE 750 ML,Wine,85000013700,750 ML,,3.29,4.25,0
POLKA DOT  750 ML,Wine,85000013922,750 ML,,5.34,5.49,0
BAREFOOT PINOT GRIGIO,Wine,85000014431,1.5 LT,,12.09,14.99,2
BAREFOOT PINOT GRIGIO,Wine,85000014448,750 ML,,6,7.99,7
CARLO CABERNET SAUV,Wine,85000014462,4 LT,,16.01,19.99,5
CARLO MERLOT,Wine,85000014479,4 LT,,16.01,19.99,6
BOONES FARM STRAWBERRY MARGARI,Wine,85000014929,750 ML,,3.29,4.25,0
MATTIES WHITE SHIRAZ  750 ML,Wine,85000015025,750 ML,,4.68,6.99,0
GALLO MOSCATO,Wine,85000015209,1.5 LT,,6.19,8.99,8
GALLO MOSCATO,Wine,85000015216,750 ML,,4.01,5.49,12
REDWOOD CREEK WHITE ZINFANDEL,Wine,85000015339,750 ML,,4,5.99,0
BOONES FARM WATERMELON 750 ML,Wine,85000015469,750 ML,,3.29,4.25,0
BAREFOOT RIESLING,Wine,85000015810,750 ML,,6.01,7.99,3
BELLA SERA CHIANTI DOCG 1.5 LT,Wine,85000015858,1.5 LT,,11.19,12.99,0
GALLO PINOT GRIGIO,Wine,85000015865,1.5 LT,,6.19,8.99,11
GALLO PINOT GRIGIO,Wine,85000015872,750 ML,,4.01,5.49,19
GALLO PINOT NOIR,Wine,85000015889,1.5 LT,,6.19,8.99,4
BELLA SERA CHIANTI 750 ML,Wine,85000015940,750 ML,,7.14,7.49,0
BAREFOOT MOSCATO,Wine,85000016671,1.5 LT,,12.09,14.99,4
BAREFOOT MOSCATO,Wine,85000016688,750 ML,,6,7.99,10
BOONES FARM WILD CHERRY 750 ML,Wine,85000016718,750 ML,,3.29,4.25,0
MADRIA SANGRIA,Wine,85000016916,1.5 LT,,7.09,12,0
MADRIA SANGRIA 750 ML,Wine,85000016923,750 ML,,4.09,6.5,0
BOONES FARM SUNSHINE PINK 750,Wine,85000017111,750 ML,,3.29,4.25,0
GALLO SWEET RED,Wine,85000017166,1.5 LT,,6.19,8.99,14
PETER VELLA SANGRIA,Wine,85000017203,5L,,14.09,17.99,0
LAMARCA PROSECCO,Wine,85000017739,750 ML,,15.01,18.99,9
LIBERTY CREEK SWEET RED,Wine,85000018026,1.5 LT,,8.01,10.99,5
LIBERTY CREEK MOSCATO,Wine,85000018033,1.5 LT,,8.01,10.99,5
BLACK SWAN MOSCATO 1.5 LTR,Wine,85000018330,1.5 LT,,9.29,13.99,0
BLACK SWAN MOSCATO 750 ML,Wine,85000018347,750 ML,,5.09,8,0
NAKED GRAPE CHARDONAY,Wine,85000018439,750 ML,,3.09,3.99,0
BAREFOOT SWEET RED,Wine,85000018491,750 ML,,6,7.99,7
BAREFOOT SWEET RED,Wine,85000018682,1.5 LT,,12.09,14.99,8
BELLA SERA MOSCATO 750 ML,Wine,85000018712,750 ML,,7.14,9.99,0
BELLA SERA MOSCATO 1.5 LT,Wine,85000018729,1.5 LT,,10.19,12.99,0
MIRASSOU MOSCATO 750 ML,Wine,85000019108,750 ML,,8.19,10.99,0
BAREFOOT RED MOSCATO,Wine,85000019894,750 ML,,6,7.99,5
GALLO PINK MOSCATO,Wine,85000019900,750 ML,,4.01,5.49,10
GALLO PINK MOSCATO,Wine,85000019917,1.5 LT,,6.19,8.99,9
MADRIA SANGRIA MOSCATO 750 ML,Wine,85000019993,750 ML,,3.5,3.74,0
BAREFOOT RED MOSCATO,Wine,85000020289,1.5 LT,,12.09,14.99,3
BAREFOOT PINK MOSCATO,Wine,85000020456,750 ML,,6,7.99,7
GALLO RED MOSCATO,Wine,85000020463,750 ML,,4.01,5.49,14
GALLO RED MOSCATO,Wine,85000020470,1.5 LT,,6.19,8.99,7
BAREFOOT PINK MOSCATO,Wine,85000020609,1.5 LT,,12.09,14.99,8
CARLO MOSCATO SANGRIA,Wine,85000021033,3 LT,,12.01,16.99,3
CARLO MOSCATO SANGRIA,Wine,85000021040,4 LT,,16.01,19.99,1
BAREFOOT RICH RED BLEND,Wine,85000021088,750 ML,,6.01,7.99,3
LIBERTY CREEK PINK MOSCATO,Wine,85000021507,1.5 LT,,7.19,10.99,2
GALLO SWEET PINEAPPLE,Wine,85000022566,750 ML,,4.01,5.49,25
GALLO SWEET PEACH,Wine,85000022573,750 ML,,4.01,5.49,11
LAMARCA PROSECCO,Wine,85000022849,1.5 LT,,29.01,34.99,5
GALLO SWEET STRAWBERRY,Wine,85000022986,750 ML,,4.01,5.49,8
PETER VELLA MOSCATO SANGRIA,Wine,85000024225,5L,,14.09,17.99,1
CARLO SANGRIA,Wine,85000025017,750 ML,,3,4.68,20
CARLO MOSCATO SANGRIA,Wine,85000025024,750 ML,,3,4.68,4
CARLO PINK MOSCATO,Wine,85000025031,750 ML,,3,4.68,7
CARLO SWEET RED,Wine,85000025048,750 ML,,3,4.68,12
GALLO SWEET APPLE,Wine,85000025574,750 ML,,4.01,5.49,16
GALLO SWEET STRAWBERRY,Wine,85000025598,1.5 LT,,6.19,8.99,8
CARLO PINK MOSCATO,Wine,8500002628,1.5 LT,,8.01,10.32,10
CARLO MOSCATO SANGRIA,Wine,85000026311,1.5 LT,,8.01,10.32,4
BAREFOOT ROSE,Wine,85000026472,1.5 LT,,10.39,13.99,0
PETER VELLA CHARDONNAY,Wine,85000027967,3 LT,,10.01,12.99,6
PETER VELLA CRISP WHITE,Wine,85000027981,3 LT,,10.01,12.99,0
CARLO PINK MOSCATO SAN,Wine,85000028711,4 LT,,16.01,19.99,8
CARLO WATERMELON SANGRIA,Wine,85000029732,750 ML,,3,4.68,17
CARLO RASPBERRY SANGRIA,Wine,85000029749,750 ML,,3,4.68,11
CARLO PINEAPPLE SANGRIA,Wine,85000029756,750 ML,,3,4.68,19
APOTHIC CABERNET SAUV.,Wine,85000030967,750 ML,,9.99,12.99,1
APOTHIC MERLOT,Wine,85000032145,750 ML,,9.99,12.99,4
CARLO BLUEBERRY SANGRIA,Wine,85000032343,750 ML,,3,4.68,8
CARLO PEACH SANGRIA,Wine,85000032350,750 ML,,3,4.68,8
CARLO CHERRY SANGRIA,Wine,85000032459,750 ML,,3,4.68,7
GALLO SWEET MANGO,Wine,85000032466,750 ML,,4.01,5.49,-2
CARLO WATERMALON,Wine,85000032480,1.5 LT,,8.01,10.32,7
ANDRE PEACH BELLINI,Wine,85000034323,750 ML,,7.01,9.38,7
ANDRE PINEAPPLE MIMOSA,Wine,85000034330,750 ML,,7.01,9.38,11
BAREFOOT LEMONADE,Wine,85000034927,750 ML,,6.01,7.99,7
VIBE BLUE RASPBERRY,Wine,85000035795,16 OZ,,2,3.29,21
VIBE FRUIT PUNCH,Wine,85000035801,16 OZ,,2,3.29,2
VIBE STRAW LIMEADE,Wine,85000035818,16 OZ,,2,3.29,7
VIBE BLUE MARGARITA,Wine,85000036969,16 OZ,,2,3.29,7
ANDRE STRAWBERRY MIMOSA,Wine,85000036990,750 ML,,7.01,9.38,6
LAMARCA ROSE,Wine,85000037232,187 ML,3-Pack,12.99,15.99,3
VIBE MANGO,Wine,85000037584,16 OZ,,2,3.29,2
VIBE PEACH,Wine,85000037591,16 OZ,,2,3.29,7
VIBE WATERMELON LIMEADE,Wine,85000039717,16 OZ,,2,3.29,3
VIBE CHERRY LIMEADE,Wine,85000040027,16 OZ,,2,3.29,18
